# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	1872
#@/user_id	f1c9d795-0135-4a3d-9b4c-a295cde06be4
a 	啊	c=14 d=1.37392 t=1745
a er 	阿爾	c=1 d=1 t=114
a li 	阿里	c=1 d=1 t=683
a li yun 	阿里云	c=1 d=1 t=364
ai si 	爱思	c=0 d=0.1 t=1542
ai si zhu shou 	爱思助手	c=1 d=1 t=1543
an 	按	c=2 d=1.41271 t=1832
an zhuo 	安卓	c=1 d=1 t=1533
ba 	吧	c=3 d=0.192677 t=1749
ba 	把	c=8 d=2.25786 t=1426
ba ren 	把人	c=2 d=1.99501 t=1236
ba wo 	把我	c=1 d=1 t=11
bai 	白	c=0 d=0.1 t=337
bai du 	百度	c=1 d=1 t=1019
bai ke 	百科	c=1 d=1 t=1020
bai ping ye mian 	白屏頁面	c=1 d=1 t=338
ban 	半	c=1 d=1 t=1376
ban 	辦	c=0 d=0.1 t=591
ban ge yue 	半個月	c=1 d=1 t=1400
ban li 	辦理	c=1 d=1 t=715
bao 	包	c=0 d=0.1 t=1824
bao cun 	保存	c=1 d=0.916725 t=618
bao cun cheng gong 	保存成功	c=1 d=1 t=619
bao cun shi bai 	保存失敗	c=2 d=1.79852 t=636
bao cuo 	報錯	c=0 d=0.1 t=1112
bao cuo xin xi 	報錯信息	c=2 d=1.9802 t=1117
bao gao 	報告	c=1 d=1 t=1336
bao jing 	報警	c=0 d=0.1 t=1275
bao kuo 	包括	c=1 d=1 t=1574
bao liu 	保留	c=2 d=1.91393 t=1689
bao zheng 	保證	c=1 d=1 t=1005
bei 	唄	c=0 d=0.1 t=1174
bei 	盃	c=1 d=1 t=1412
bei 	被	c=1 d=0.42628 t=1534
bei di li 	背地裏	c=0 d=0.1 t=595
bei di li wan yin de 	背地裏玩陰的	c=1 d=1 t=596
bei jing 	北京	c=1 d=1 t=1866
bei jing shi chao yang qu 	北京市朝阳区	c=1 d=1 t=659
bei le 	杯了	c=0 d=0.1 t=585
bei zi 	杯子	c=1 d=1 t=1406
ben dan 	笨蛋	c=1 d=1 t=88
ben lai 	本來	c=1 d=1 t=689
bi jiao 	比較	c=0 d=0.1 t=990
bi ni 	比你	c=0 d=0.1 t=619
bi ru 	比如	c=1 d=1 t=1557
bi xu 	必須	c=2 d=1.00017 t=1770
bi yao 	必要	c=0 d=0.1 t=1584
bian geng 	變更	c=1 d=1.09005 t=182
bian hao 	編號	c=5 d=3.241 t=465
bian hao hou 	編號後	c=1 d=1 t=347
bian yi 	編譯	c=2 d=1.98227 t=1157
bian yi de shi hou 	編譯的時候	c=1 d=1 t=1128
bian yi gong cheng 	編譯工程	c=1 d=1 t=1158
biao 	表	c=4 d=3.42679 t=279
biao ji 	標記	c=2 d=1.93239 t=1720
biao jie gou 	表結構	c=1 d=1 t=200
bie dong zhe 	別凍着	c=2 d=1.99005 t=130
bin 	彬	c=1 d=1 t=1605
bing 	並	c=1 d=1 t=1683
bing bing 	冰冰	c=0 d=0.1 t=112
bo li bei 	玻璃杯	c=2 d=1.01641 t=1411
bu 	不	c=1 d=0.746727 t=1872
bu bao he 	不飽和	c=1 d=1 t=1315
bu bi ni de 	不比你的	c=1 d=1 t=620
bu cao xin 	不操心	c=1 d=1 t=797
bu chao guo 	不超過	c=1 d=1 t=558
bu chu qu 	不出去	c=0 d=0.1 t=1508
bu chu qu chi le 	不出去吃了	c=1 d=1 t=1509
bu cuo 	不錯	c=0 d=0.1 t=1526
bu dong le 	不動了	c=0 d=0.1 t=1643
bu dui 	不對	c=1 d=1 t=1132
bu fu ze ren 	不負責任	c=1 d=1 t=757
bu gai 	不改	c=0 d=0.1 t=1650
bu gao 	不高	c=0 d=0.1 t=600
bu guo 	不過	c=1 d=1 t=963
bu hua qian 	不花錢	c=1 d=1 t=595
bu huan hang 	不換行	c=1 d=1 t=1526
bu huang 	不黃	c=1 d=1 t=1238
bu hui 	不會	c=2 d=1.54881 t=1697
bu hui bei 	不會被	c=1 d=1 t=1537
bu ke neng 	不可能	c=1 d=1 t=883
bu ming bai 	不明白	c=2 d=1.99005 t=1839
bu neng wei kong 	不能爲空	c=1 d=1 t=317
bu neng xiu xi de hua 	不能休息的話	c=1 d=1 t=1395
bu qi 	不起	c=0 d=0.1 t=1218
bu qing chu 	不清楚	c=1 d=1 t=1160
bu shi 	不是	c=5 d=2.2131 t=1350
bu shi wo xie de 	不是我寫的	c=1 d=1 t=1161
bu shu 	部署	c=3 d=2.04365 t=1069
bu xian shi 	不現實	c=0 d=0.1 t=1614
bu xing 	不行	c=3 d=1.30899 t=1769
bu xiu 	不休	c=1 d=1 t=1369
bu xu yao 	不需要	c=2 d=1.49411 t=869
bu yao 	不要	c=1 d=1 t=1205
bu yong shuo 	不用說	c=1 d=1 t=1546
bu yuan 	不遠	c=1 d=1 t=1495
bu zai yi qi 	不在一起	c=1 d=1 t=1086
bu zhi dao 	不知道	c=1 d=1 t=1380
bu zhi dao hui bu hui 	不知道會不會	c=1 d=1 t=513
cai neng 	才能	c=0 d=0.1 t=32
cai neng cao zuo 	才能操作	c=1 d=1 t=33
can kao 	參考	c=2 d=1.00487 t=1505
can shu 	參數	c=2 d=1.39259 t=543
cao xin 	操心	c=1 d=1.01851 t=796
cao zuo 	操作	c=0 d=0.277101 t=65
ce ce 	測測	c=0 d=0.1 t=1042
ce ce kan kan 	測測看看	c=1 d=1 t=1043
ce shi 	測試	c=6 d=1.40938 t=1681
ce shi huan jing 	測試環境	c=1 d=1 t=1101
ce shi zhi fu 	測試支付	c=1 d=1 t=134
cha 	查	c=0 d=0.1 t=989
cha bu duo 	差不多	c=1 d=1 t=1826
cha kan 	查看	c=1 d=1 t=322
cha shu ju 	查數據	c=1 d=1 t=990
chai 	拆	c=0 d=0.1 t=748
chai chu 	拆出	c=1 d=1 t=852
