# Rime user dictionary
#@/db_name	pinyin_simp.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	1382
#@/user_id	f1c9d795-0135-4a3d-9b4c-a295cde06be4
a 	啊	c=0 d=0.158872 t=1382
a yi 	阿姨	c=0 d=0.000848038 t=1382
ai fu 	爱抚	c=1 d=0.83527 t=1382
an 	案	c=7 d=0.761537 t=1382
an jian 	案件	c=1 d=0.0149208 t=1382
an quan 	安全	c=4 d=0.16326 t=1382
an zhuang 	安装	c=1 d=0.00336274 t=1382
ba 	吧	c=2 d=0.926489 t=1382
ba 	把	c=1 d=0.0131019 t=1382
ba 	爸	c=1 d=0.0271874 t=1382
ba shi 	八十	c=1 d=0.438235 t=1382
ban 	半	c=3 d=0.719786 t=1382
ban ben 	版本	c=1 d=0.0682212 t=1382
ban gong shi 	办公室	c=1 d=0.0101022 t=1382
bei 	被	c=1 d=0.119433 t=1382
bei gao 	备稿	c=1 d=0.00900478 t=1382
bei guai 	被拐	c=1 d=0.0137736 t=1382
bi 	比	c=1 d=0.0898153 t=1382
bi fa 	笔法	c=1 d=0.112478 t=1382
bi hui 	笔灰	c=1 d=0.0753961 t=1382
bi jiao 	比较	c=2 d=0.0135441 t=1382
bi zhi 	笔直	c=1 d=0.0195457 t=1382
bian min 	便民	c=1 d=0.0395575 t=1382
biao dian 	标点	c=1 d=0.00191125 t=1382
biao ti 	标题	c=2 d=0.3983 t=1382
bing fei 	并非	c=1 d=0.148823 t=1382
bo 	博	c=1 d=0.00597602 t=1382
bo ke 	博客	c=3 d=0.0168127 t=1382
bu 	不	c=4 d=1.16857 t=1382
bu chong 	补充	c=1 d=0.154896 t=1382
bu ding 	补丁	c=1 d=0.118245 t=1382
bu fen 	部分	c=0 d=0.000246639 t=1382
bu gao 	不搞	c=1 d=0.0262523 t=1382
bu guo 	不过	c=1 d=0.100761 t=1382
bu hao 	不好	c=0 d=0.1 t=1371
bu he shi 	不合适	c=1 d=0.0218184 t=1382
bu ke neng 	不可能	c=1 d=0.0258615 t=1382
bu liao 	不料	c=1 d=0.0500366 t=1382
bu neng 	不能	c=1 d=0.00332928 t=1382
bu sheng xiao 	不生效	c=2 d=1.96079 t=1339
bu shi 	不是	c=0 d=0.000299743 t=1382
bu shi ying 	不适应	c=1 d=0.00146632 t=1382
bu shi yong 	不是用	c=1 d=0.00301245 t=1382
bu yong 	不用	c=3 d=0.598501 t=1382
bu zai 	不再	c=0 d=0.000180897 t=1382
bu zai shi 	不再是	c=2 d=0.00366354 t=1382
bu zhi 	不知	c=1 d=0.00386807 t=1382
bu zhi dao 	不知道	c=3 d=0.250472 t=1382
cai 	才	c=2 d=0.093254 t=1382
cai jian 	裁剪	c=1 d=0.537944 t=1382
cai yong 	采用	c=2 d=0.00520412 t=1382
can kao 	参考	c=2 d=0.204057 t=1382
can zhao 	参照	c=1 d=0.00157264 t=1382
ce guo 	测过	c=1 d=0.00255424 t=1382
ceng 	曾	c=1 d=0.265803 t=1382
cha ru 	插入	c=2 d=0.00552378 t=1382
chang 	场	c=1 d=0.172045 t=1382
chang 	昌	c=2 d=0.0104886 t=1382
che 	车	c=1 d=0.0305009 t=1382
chen su feng 	陈素封	c=1 d=0.00932553 t=1382
chen zi 	臣子	c=1 d=0.182684 t=1382
cheng 	成	c=1 d=0.0356146 t=1382
cheng du 	程度	c=1 d=0.00565622 t=1382
cheng ke 	乘客	c=2 d=0.0901266 t=1382
cheng shi 	城市	c=1 d=0.0327124 t=1382
cheng wei 	成为	c=1 d=0.522046 t=1382
chi xu 	持续	c=1 d=0.255381 t=1382
chong xin 	重新	c=2 d=0.265601 t=1382
chong zhuang 	重装	c=3 d=0.00454103 t=1382
chu 	出	c=3 d=0.821687 t=1382
chu gao 	初稿	c=1 d=0.00355287 t=1382
chu le 	除了	c=1 d=0.0539337 t=1382
chu se 	出色	c=1 d=0.00453922 t=1382
chu shu 	出书	c=1 d=0.0057417 t=1382
chuan 	串	c=1 d=0.311923 t=1382
chuan 	传	c=1 d=0.0132999 t=1382
chuan 	穿	c=1 d=0.0593087 t=1382
chuan da 	传达	c=1 d=0.0109436 t=1382
chuan zhe 	穿着	c=1 d=0.0337087 t=1382
chun shu 	纯熟	c=1 d=0.00673795 t=1382
chun yun 	春运	c=1 d=0.0141223 t=1382
ci 	词	c=2 d=1.07802 t=1382
ci chu 	此处	c=1 d=0.00290884 t=1382
ci ku 	词库	c=2 d=1.81435 t=1382
ci shu 	此书	c=5 d=0.550668 t=1382
cun chu 	存储	c=1 d=0.00479587 t=1382
da 	大	c=1 d=1 t=1374
da 	达	c=1 d=0.382893 t=1382
da ming 	大明	c=8 d=1.56986 t=1382
da ming jie 	大明劫	c=1 d=0.155673 t=1382
da pei 	搭配	c=1 d=0.00222055 t=1382
da quan 	大全	c=1 d=0.00848038 t=1382
da suan 	打算	c=2 d=1.29877 t=1382
da xiao 	大小	c=1 d=1.09802 t=1332
da zi 	打字	c=1 d=0.960789 t=1382
dai 	带	c=2 d=0.755899 t=1382
dai 	轪	c=1 d=1 t=1356
dai dai 	呆呆	c=1 d=0.722527 t=1382
dai dong 	带动	c=0 d=0.000199922 t=1382
dan 	但	c=2 d=0.0181452 t=1382
dan fan 	单反	c=2 d=0.224177 t=1382
dan kao 	单靠	c=1 d=0.19205 t=1382
dang 	当	c=0 d=0.000235786 t=1382
dang di 	当地	c=1 d=0.0515605 t=1382
dang du chang 	当赌场	c=1 d=0.00236968 t=1382
dang ran 	当然	c=1 d=0.131994 t=1382
dang zhong 	当中	c=1 d=0.115903 t=1382
dao 	倒	c=1 d=0.794534 t=1382
dao 	到	c=6 d=0.482264 t=1382
dao 	稻	c=1 d=0.162838 t=1382
dao di 	到底	c=0 d=0.1 t=1325
dao ru 	导入	c=2 d=1.10312 t=1382
dao shi 	到时	c=1 d=0.0225956 t=1382
dao shi hou 	到时候	c=1 d=0.0124007 t=1382
de 	得	c=2 d=0.142187 t=1382
de 	的	c=50 d=6.49953 t=1382
de hua 	的话	c=1 d=1 t=1375
den 	扽	c=2 d=0.032886 t=1382
den an 	扽按	c=1 d=0.0026189 t=1382
den den jing 	扽扽经	c=2 d=0.00533069 t=1382
den jiang 	扽将	c=3 d=0.0353648 t=1382
den ling jian 	扽零件	c=1 d=0.00264522 t=1382
deng 	等	c=1 d=0.0159229 t=1382
di fang 	地方	c=1 d=0.494109 t=1382
di san ji 	第三集	c=1 d=0.57695 t=1382
dian 	点	c=5 d=0.74978 t=1382
dian ban 	点半	c=1 d=0.367879 t=1382
dian hou 	点后	c=1 d=0.0284388 t=1382
dian hua 	电话	c=4 d=0.987798 t=1382
dian shi 	电视	c=1 d=0.634448 t=1382
dian shi ju 	电视剧	c=1 d=0.139457 t=1382
dian ti 	电梯	c=1 d=0.0175097 t=1382
dian ying 	电影	c=3 d=0.925086 t=1382
diao 	掉	c=1 d=0.527292 t=1382
ding qi 	定期	c=1 d=0.00535353 t=1382
ding yi 	定义	c=1 d=0.00251621 t=1382
dong 	动	c=7 d=4.03021 t=1382
dong 	垌	c=1 d=1 t=1355
dong 	胴	c=1 d=1 t=1370
dong dong 	东东	c=1 d=0.0658748 t=1382
dong fang 	东方	c=1 d=1 t=1333
dou 	斗	c=1 d=0.0480747 t=1382
dou 	都	c=6 d=0.673677 t=1382
dou shi 	都是	c=2 d=0.104109 t=1382
dou yin 	抖音	c=1 d=0.00357068 t=1382
du 	堵	c=1 d=0.496585 t=1382
du chang 	赌场	c=0 d=0.000235786 t=1382
du shu 	读书	c=1 d=0.00489275 t=1382
du wan 	读完	c=2 d=0.16757 t=1382
du zhi 	读至	c=1 d=0.0948935 t=1382
duan duan xu xu 	断断续续	c=1 d=0.0724398 t=1382
dui 	队	c=3 d=0.594842 t=1382
dui zhang 	队长	c=1 d=0.0572688 t=1382
duo 	多	c=1 d=1 t=1380
duo da 	多大	c=2 d=0.0473746 t=1382
duo sai 	多赛	c=1 d=1 t=1354
duo shao 	多少	c=2 d=0.501091 t=1382
en 	嗯	c=2 d=0.924908 t=1382
en 	恩	c=1 d=0.00134011 t=1382
er 	而	c=1 d=0.104874 t=1382
er shi 	而是	c=2 d=0.0036819 t=1382
fa 	法	c=1 d=0.574583 t=1382
fa bu 	发布	c=2 d=0.0107918 t=1382
fa song 	发送	c=2 d=1.04105 t=1382
fa xian 	发现	c=3 d=0.0953685 t=1382
fan bian 	翻遍	c=1 d=0.084163 t=1382
fan ye 	翻页	c=15 d=7.85996 t=1382
fang bian 	方便	c=3 d=0.0646888 t=1382
fang dao 	放到	c=1 d=1 t=1381
fei 	非	c=2 d=0.955811 t=1382
fei chang 	非常	c=1 d=0.00238156 t=1382
fei xu gou 	非虚构	c=1 d=0.114178 t=1382
fen 	分	c=2 d=0.688506 t=1382
fen ci 	分次	c=1 d=1 t=1379
fen lei 	分类	c=1 d=0.205975 t=1382
feng mian 	封面	c=1 d=0.0695994 t=1382
fu 	福	c=2 d=0.0346714 t=1382
fu gai 	覆盖	c=1 d=0.00316691 t=1382
fu hua 	腐化	c=0 d=0.0157237 t=1382
fu wu 	服务	c=5 d=0.441125 t=1382
fu wu dui 	服务队	c=1 d=0.0378169 t=1382
fu wu zhan 	服务站	c=1 d=0.0397558 t=1382
fu za 	复杂	c=1 d=0.932394 t=1382
fu ze 	负责	c=2 d=0.936975 t=1382
fu zhi 	复制	c=2 d=0.00324123 t=1382
gai 	改	c=1 d=0.163654 t=1382
gai 	该	c=0 d=0.000199922 t=1382
gai cheng 	改成	c=0 d=0.000208081 t=1382
gai cheng shu pai 	改成竖排	c=1 d=0.00209124 t=1382
gai dai dong 	该带动	c=1 d=0.00200924 t=1382
gai shan 	改善	c=1 d=0.0426384 t=1382
gan jing 	干净	c=1 d=0.00218749 t=1382
gan jue 	感觉	c=1 d=0.786628 t=1382
gang 	刚	c=1 d=0.0365162 t=1382
gang gang 	刚刚	c=2 d=1.08692 t=1382
gao 	搞	c=1 d=0.0256042 t=1382
gao su 	高速	c=1 d=0.0888121 t=1382
gao xiao 	高效	c=3 d=0.0243647 t=1382
ge 	个	c=3 d=0.408722 t=1382
ge 	歌	c=4 d=0.0732063 t=1382
ge zhong 	各种	c=3 d=0.182859 t=1382
gen 	根	c=1 d=0.00166989 t=1382
gen 	跟	c=4 d=0.503955 t=1382
gen ju 	根据	c=1 d=0.0678809 t=1382
gen wo 	跟我	c=1 d=0.0023344 t=1382
geng 	更	c=3 d=0.156858 t=1382
geng duo 	更多	c=1 d=0.136014 t=1382
geng hao 	更好	c=1 d=0.00188279 t=1382
geng xin 	更新	c=1 d=0.900325 t=1382
geng you 	更有	c=2 d=0.133386 t=1382
gong an 	公安	c=1 d=0.0146253 t=1382
gong bei 	拱北	c=1 d=0.0293049 t=1382
gong jiao 	公交	c=2 d=0.0811829 t=1382
gong lu 	公路	c=2 d=0.0373732 t=1382
gong neng 	功能	c=1 d=0.00249118 t=1382
gong tong 	共通	c=0 d=0.0109154 t=1382
gong tong dian 	共通点	c=1 d=0.109701 t=1382
gong zuo 	工作	c=1 d=0.0107807 t=1382
gou jian 	构建	c=1 d=0.217621 t=1382
gou mai 	购买	c=1 d=0.0095616 t=1382
gou tong 	沟通	c=1 d=0.484325 t=1382
gu shi 	故事	c=2 d=0.162352 t=1382
guan 	官	c=1 d=0.241714 t=1382
guan chang 	官场	c=1 d=0.180866 t=1382
guan fang 	官方	c=2 d=0.477544 t=1382
guang huan 	广欢	c=1 d=0.0177743 t=1382
guang zhou 	广州	c=1 d=0.0317456 t=1382
gui yi 	诡异	c=1 d=0.150318 t=1382
guo 	过	c=2 d=0.272381 t=1382
guo cheng 	过程	c=1 d=0.0049667 t=1382
guo ku 	国库	c=1 d=0.169483 t=1382
guo qu 	过去	c=0 d=0.00253494 t=1382
guo wang 	过往	c=2 d=0.0964137 t=1382
guo yu 	过于	c=1 d=0.923116 t=1382
ha ha 	哈哈	c=1 d=0.0020601 t=1382
hai 	海	c=2 d=0.0105412 t=1382
hai shi 	还是	c=2 d=0.0690675 t=1382
hai xiang 	还想	c=1 d=0.13466 t=1382
hai zi 	孩子	c=1 d=0.0145524 t=1382
hao 	号	c=1 d=0.0151463 t=1382
hao 	好	c=7 d=2.13354 t=1382
hao de 	好的	c=0 d=0.1 t=1368
hao kan 	好看	c=1 d=0.650509 t=1382
hao le ma 	好了吗	c=1 d=0.980199 t=1382
hao xiang 	好想	c=0 d=0.000509243 t=1382
hao xiang fa 	好想法	c=1 d=0.00511796 t=1382
hao yong 	好用	c=1 d=0.0023935 t=1382
hao you 	蚝油	c=1 d=0.0134335 t=1382
he 	和	c=2 d=0.0793306 t=1382
he 	鹤	c=3 d=0.0804915 t=1382
he shi 	合适	c=0 d=0.00217096 t=1382
hong qi 	红旗	c=1 d=0.0352602 t=1382
hong se 	红色	c=2 d=0.0937826 t=1382
hou 	后	c=6 d=0.605238 t=1382
hou mian 	后面	c=1 d=0.278037 t=1382
hou tou 	后头	c=1 d=0.209088 t=1382
hou xuan 	候选	c=1 d=0.00212284 t=1382
hou zhe 	后者	c=1 d=0.00398587 t=1382
hu xin 	湖心	c=3 d=0.850177 t=1382
hu xin lu 	湖心路	c=3 d=0.128466 t=1382
hua 	花	c=3 d=0.0559716 t=1382
hua qian 	花钱	c=1 d=0.00228818 t=1382
huan 	换	c=4 d=0.0980229 t=1382
huan jie 	缓解	c=1 d=0.044601 t=1382
huang ce 	黄册	c=2 d=0.173474 t=1382
huang di 	皇帝	c=1 d=0.159614 t=1382
hui 	会	c=3 d=0.854773 t=1382
hui 	回	c=1 d=0.0488012 t=1382
hui jia 	回家	c=2 d=0.0294152 t=1382
hui tou 	回头	c=1 d=0.290835 t=1382
hui xiang 	回乡	c=1 d=0.489192 t=1382
hui you 	会有	c=1 d=0.336216 t=1382
huo 	或	c=1 d=0.631284 t=1382
huo qu 	获取	c=1 d=0.00806679 t=1382
ji hu 	几乎	c=1 d=0.0776922 t=1382
ji jie 	集结	c=1 d=0.00571306 t=1382
ji ke 	即可	c=1 d=0.00324708 t=1382
ji lei 	积累	c=1 d=0.00557201 t=1382
ji qiao 	技巧	c=1 d=0.00396599 t=1382
ji shu 	技术	c=1 d=0.00379148 t=1382
ji tian 	几天	c=1 d=0.0156858 t=1382
ji xia 	记下	c=1 d=0.276651 t=1382
ji xu 	继续	c=1 d=0.272532 t=1382
jia jing 	嘉靖	c=1 d=0.147342 t=1382
jia shang 	加上	c=1 d=0.0889216 t=1382
jia zai 	加载	c=1 d=0.0015415 t=1382
jian cha 	检查	c=1 d=0.00860854 t=1382
jian chi 	坚持	c=3 d=0.888763 t=1382
jian shu 	荐书	c=1 d=0.690734 t=1382
jian wei zhi zhu 	见微知著	c=1 d=0.108609 t=1382
jian yi 	建议	c=1 d=1 t=1376
jiang 	将	c=3 d=0.425175 t=1382
jiang zi 	酱紫	c=1 d=0.00252883 t=1382
jiao 	叫	c=3 d=0.0608037 t=1382
jiao tong 	交通	c=2 d=0.0954176 t=1382
jie 	劫	c=0 d=0.0154896 t=1382
jie 	节	c=1 d=0.0135009 t=1382
jie jue 	解决	c=1 d=0.29671 t=1382
jie shao 	介绍	c=1 d=0.212248 t=1382
jie ya 	解压	c=2 d=0.00484332 t=1382
jin 	进	c=1 d=0.337902 t=1382
jin ri 	今日	c=1 d=0.00419023 t=1382
jin ru 	进入	c=1 d=0.00382958 t=1382
jin shang tian hua 	锦上添花	c=1 d=0.12307 t=1382
jin tian 	今天	c=1 d=0.0164078 t=1382
jin wan 	今晚	c=2 d=0.367192 t=1382
jin wan 	金湾	c=15 d=3.01219 t=1382
jin wan ren 	金湾人	c=1 d=0.582748 t=1382
jin yong 	禁用	c=1 d=0.00286554 t=1382
jin zhu 	进驻	c=1 d=0.0380064 t=1382
jing 	精	c=2 d=0.374784 t=1382
jing cai 	精彩	c=1 d=0.38868 t=1382
jing chang 	经常	c=1 d=0.064894 t=1382
jing cheng 	京城	c=1 d=0.0645703 t=1382
jing dian 	经典	c=1 d=0.017953 t=1382
jing guan 	景观	c=1 d=0.0190631 t=1382
jing ming 	精明	c=1 d=0.14808 t=1382
jing pai 	精排	c=1 d=0.0699482 t=1382
jing xi 	惊喜	c=0 d=0.000419023 t=1382
jing xin 	惊心	c=1 d=0.0143357 t=1382
jing ye 	敬业	c=1 d=0.0173355 t=1382
jiu 	久	c=2 d=0.385157 t=1382
jiu 	就	c=6 d=0.90853 t=1382
jiu shi 	就是	c=10 d=0.485458 t=1382
jiu shi zhe yang 	就是这样	c=0 d=0.000201931 t=1382
jiu xiang shi 	就像是	c=1 d=0.0780817 t=1382
ju 	剧	c=1 d=0.637628 t=1382
ju ti 	具体	c=1 d=0.0071546 t=1382
jue de 	觉得	c=2 d=0.198845 t=1382
jue ding 	决定	c=1 d=0.00147367 t=1382
jun 	军	c=1 d=0.172907 t=1382
ka pian 	卡片	c=13 d=1.1104 t=1382
kai 	开	c=1 d=1.056 t=1370
kai hui 	开会	c=1 d=0.0104621 t=1382
kai shi 	开始	c=1 d=0.0385808 t=1382
kan 	看	c=8 d=1.44915 t=1382
kan guo 	看过	c=1 d=0.126818 t=1382
kan hao 	看好	c=1 d=0.0144798 t=1382
kan kan 	看看	c=2 d=0.367211 t=1382
kan shi pin 	看视频	c=1 d=0.579842 t=1382
kan wan 	看完	c=2 d=0.205458 t=1382
kao lv 	考虑	c=1 d=0.0443785 t=1382
ke 	可	c=3 d=0.724423 t=1382
ke cheng 	课程	c=4 d=0.638166 t=1382
ke fu 	客服	c=1 d=0.00367942 t=1382
ke neng 	可能	c=0 d=0.00257325 t=1382
ke shi 	可是	c=1 d=0.865022 t=1382
ke yi 	可以	c=10 d=0.878502 t=1382
ke yong 	可用	c=1 d=0.00305798 t=1382
kou 	口	c=2 d=0.0941088 t=1382
ku 	库	c=1 d=0.219808 t=1382
ku cha 	裤衩	c=1 d=0.0383884 t=1382
kuai 	快	c=1 d=0.600496 t=1382
kuai jie jian 	快捷键	c=1 d=1 t=1348
kuang lan 	狂澜	c=1 d=0.186374 t=1382
kui jian 	窥见	c=1 d=0.167797 t=1382
kui kong 	亏空	c=1 d=0.170333 t=1382
lai 	来	c=3 d=0.616991 t=1382
lai dao 	来到	c=1 d=0.375311 t=1382
lai jiang 	来讲	c=1 d=0.00634556 t=1382
lang 	浪	c=0 d=0.0148823 t=1382
lang de xu ming 	浪得虚名	c=1 d=0.149569 t=1382
lao ren 	老人	c=2 d=0.0993508 t=1382
le 	了	c=13 d=1.78023 t=1382
le ma 	了吗	c=0 d=0.097531 t=1382
lei si 	类似	c=1 d=0.116484 t=1382
li 	里	c=0 d=0.1 t=1381
li hao 	利好	c=1 d=0.00138093 t=1382
li hao 	黎浩	c=1 d=0.0178634 t=1382
li ji 	立即	c=1 d=0.00516939 t=1382
li shi 	历史	c=1 d=0.11475 t=1382
li te 	力特	c=1 d=0.018043 t=1382
li yong 	利用	c=1 d=0.00467746 t=1382
lian jie 	链接	c=1 d=0.621885 t=1382
liang 	两	c=1 d=0.0958472 t=1382
liang ban 	两班	c=1 d=0.0303487 t=1382
liang ge 	两个	c=1 d=0.0278757 t=1382
liang pian 	两篇	c=1 d=0.090718 t=1382
liang zhe 	两者	c=1 d=0.109154 t=1382
liang zhong 	两种	c=1 d=0.107528 t=1382
liao 	聊	c=1 d=0.0210021 t=1382
liao jie 	了解	c=1 d=0.135335 t=1382
liao sheng yu wu 	聊胜于无	c=1 d=0.123687 t=1382
ling 	令	c=1 d=0.16696 t=1382
ling dao 	领导	c=1 d=0.666977 t=1382
ling jian 	零件	c=0 d=0.000263203 t=1382
ling lei 	另类	c=1 d=0.0977834 t=1382
ling qu 	领取	c=1 d=0.588605 t=1382
ling sai la 	令赛啦	c=1 d=0.810584 t=1382
liu ri 	六日	c=1 d=0.00891518 t=1382
liu zuo 	留做	c=1 d=0.970446 t=1382
lu 	卢	c=2 d=0.0104363 t=1382
lu bian 	路边	c=1 d=0.0181334 t=1382
lu chang hai 	卢昌海	c=1 d=0.00704808 t=1382
lu kou 	路口	c=2 d=0.631308 t=1382
lv hua 	绿化	c=2 d=0.0389968 t=1382
lv ke 	旅客	c=3 d=0.136852 t=1382
ma 	吗	c=4 d=1.0216 t=1382
ma 	码	c=2 d=0.925532 t=1382
ma bo yong 	马伯庸	c=3 d=0.418519 t=1382
ma jia 	马甲	c=2 d=0.0942527 t=1382
mai 	买	c=3 d=0.048366 t=1382
man man 	慢慢	c=2 d=0.98072 t=1382
man man 	满满	c=1 d=0.0250972 t=1382
mei guan xi 	没关系	c=1 d=0.271173 t=1382
mei tian 	每天	c=1 d=0.366045 t=1382
mei you 	没有	c=3 d=1.06565 t=1382
men 	们	c=1 d=0.0420036 t=1382
men 	门	c=1 d=0.0483156 t=1382
mian 	面	c=1 d=0.0608101 t=1382
miao 	秒	c=1 d=0.013912 t=1382
min 	敏	c=1 d=0.00995182 t=1382
min zu 	民族	c=1 d=0.0589249 t=1382
min zu wu 	民族舞	c=1 d=0.0528657 t=1382
ming chao 	明朝	c=0 d=0.0155673 t=1382
ming chao mo nian 	明朝末年	c=1 d=0.156453 t=1382
ming liang 	明亮	c=1 d=0.00219846 t=1382
ming tian 	明天	c=1 d=0.00364281 t=1382
ming zi 	名字	c=1 d=0.506617 t=1382
mo 	末	c=1 d=0.142987 t=1382
mo 	魔	c=1 d=0.142274 t=1382
mo nian 	末年	c=0 d=0.0155673 t=1382
mu ban 	模板	c=1 d=0.208045 t=1382
mu lu 	目录	c=1 d=0.00851787 t=1382
mu you 	木有	c=1 d=0.0314298 t=1382
n chao 	嗯超	c=1 d=1 t=1352
na 	那	c=4 d=0.586421 t=1382
na bian 	那边	c=1 d=0.0165727 t=1382
na me 	那么	c=3 d=0.9608 t=1382
na me jiu 	那么久	c=1 d=0.0199405 t=1382
na n 	那嗯	c=1 d=0.0169922 t=1382
na shi 	那是	c=1 d=0.767206 t=1382
na zhang 	那张	c=1 d=0.557106 t=1382
ne 	呢	c=2 d=1.52693 t=1382
nei rong 	内容	c=1 d=0.366636 t=1382
nei rong li 	内容里	c=1 d=1 t=1382
neng 	能	c=2 d=0.899032 t=1382
neng kai 	能开	c=1 d=1 t=1364
